id,name,weight,show_rating,type_Animation,type_Award Show,type_Documentary,type_Game Show,type_News,type_Panel Show,type_Reality,type_Scripted,type_Sports,type_Talk Show,type_Variety,genre_Action,genre_Adult,genre_Adventure,genre_Anime,genre_Children,genre_Comedy,genre_Crime,genre_DIY,genre_Drama,genre_Espionage,genre_Family,genre_Fantasy,genre_Food,genre_History,genre_Horror,genre_Legal,genre_Medical,genre_Music,genre_Mystery,genre_Nature,genre_Romance,genre_Science-Fiction,genre_Sports,genre_Supernatural,genre_Thriller,genre_Travel,genre_War,genre_Western,runtime_short_series,runtime_medium_series,runtime_long_series
1,Under the Dome,98,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2,Person of Interest,98,8.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,Bitten,96,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4,Arrow,98,7.4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,True Detective,99,8.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,The 100,98,7.7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,Homeland,98,8.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,Glee,94,6.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9,Revenge,91,7.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
10,Grimm,97,8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
